code,code-note,category,desc,date,note,starttime,endtime,duration,location,username
2038,tech-dry-run-1,2,[Pre-conference] Tech dry run,,,0:00,1:30,1:30:00,"Zoom, Discord, YouTube, and Slack",
2039,tech-dry-run-2,2,[Pre-conference] Tech dry run,,,0:00,1:30,1:30:00,"Zoom, Discord, YouTube, and Slack",
2040,tech-dry-run-3,2,[Pre-conference] Tech dry run,,,0:00,1:30,1:30:00,"Zoom, Discord, YouTube, and Slack",
2041,tech-dry-run-4,2,[Pre-conference] Tech dry run,,,0:00,1:30,1:30:00,"Zoom, Discord, YouTube, and Slack",
2042,tech-dry-run-5,2,[Pre-conference] Tech dry run,,,0:00,1:30,1:30:00,"Zoom, Discord, YouTube, and Slack",
2043,tech-dry-run-6,2,[Pre-conference] Tech dry run,,,0:00,1:30,1:30:00,"Zoom, Discord, YouTube, and Slack",
2044,tech-dry-run-7,2,[Pre-conference] Tech dry run,,,0:00,1:30,1:30:00,"Zoom, Discord, YouTube, and Slack",
2045,tech-dry-run-8,2,[Pre-conference] Tech dry run,,,0:00,1:30,1:30:00,"Zoom, Discord, YouTube, and Slack",
